;article; weighted ; not weighted 
0;BOISSON; 0.1532312925170068 ; 0.14377224199288255 
1;BAGUETTE; 0.1282312925170068 ; 0.11459074733096085 
2;PAIN AU CHOCOLAT; 0.17959183673469387 ; 0.15444839857651246 
3;PAIN; 0.03877551020408163 ; 0.04128113879003559 
4;CROISSANT; 0.1324829931972789 ; 0.11791221826809016 
5;COUPE; 0.020068027210884354 ; 0.019691577698695135 
6;SANDWICH; 0.14523809523809525 ; 0.17580071174377224 
7;KOUIGN AMANN; 0.011054421768707483 ; 0.011150652431791221 
8;GALETTE; 0.00017006802721088434 ; 0.00023724792408066428 
9;MOISSON; 0.006462585034013605 ; 0.008778173190984579 
10;BRIOCHE; 0.0035714285714285713 ; 0.004744958481613286 
11;PATISSERIE; 0.023639455782312926 ; 0.02491103202846975 
12;PAIN AUX RAISINS; 0.01904761904761905 ; 0.021352313167259787 
13;FINANCIER; 0.004251700680272109 ; 0.005219454329774615 
14;VIENNOISERIE; 0.004081632653061225 ; 0.005219454329774615 
15;FAR BRETON; 0.0018707482993197278 ; 0.0026097271648873074 
16;CHAUSSON AUX POMMES; 0.017857142857142856 ; 0.02158956109134045 
17;Others (37 articles); 0.039965986394557826 ; 0.045077105575326216 
18;NANTAIS; 0.002380952380952381 ; 0.002135231316725979 
19;TARTELETTE; 0.016666666666666666 ; 0.01589561091340451 
20;FLAN; 0.007312925170068027 ; 0.008066429418742586 
21;ECLAIR; 0.013945578231292517 ; 0.014709371293001186 
22;ROYAL; 0.00017006802721088434 ; 0.00023724792408066428 
23;TARTE; 0.0003401360544217687 ; 0.00047449584816132857 
24;TRAITEUR; 0.02959183673469388 ; 0.04009489916963226 
