,article,presence,quantity,average bought,weighted,not weighted
0,CROISSANT,869,2195.0,2.5258918296892983,0.05260382965466005,0.037190790036805615
1,BAGUETTE,8545,14306.0,1.674195435927443,0.3428475567378436,0.3657023024907986
2,PAIN AU CHOCOLAT,5852,14794.0,2.528024606971975,0.35454262228293426,0.2504493708807669
3,PAIN,1847,2149.0,1.163508391987006,0.051501425935245766,0.07904647778823932
4,COUPE,1327,1547.0,1.1657874905802563,0.037074316389867475,0.05679191988359154
5,SANDWICH,322,420.0,1.3043478260869565,0.010065425264217413,0.01378070701018574
6,KOUIGN AMANN,284,426.0,1.5,0.010209217053706234,0.012154412394076863
7,GALETTE,27,31.0,1.1481481481481481,0.0007429242456922377,0.0011555251219720962
8,MOISSON,203,219.0,1.0788177339901477,0.0052484003163419364,0.008687837028160575
9,BOISSON,497,653.0,1.3138832997987928,0.015649339756033265,0.02127022168963451
10,BRIOCHE,297,313.0,1.0538720538720538,0.007501138351666787,0.012710776341693058
11,PATISSERIE,433,717.0,1.6558891454965359,0.017183118843914012,0.018531199178293246
12,PAIN AUX RAISINS,836,1137.0,1.3600478468899522,0.027248544108131427,0.035778481554395274
13,FINANCIER,82,91.0,1.1097560975609757,0.0021808421405804398,0.003509372592655996
14,VIENNOISERIE,135,143.0,1.0592592592592593,0.0034270376494835476,0.005777625609860481
15,FAR BRETON,108,115.0,1.0648148148148149,0.0027560092985357203,0.004622100487888385
16,CHAUSSON AUX POMMES,441,597.0,1.3537414965986394,0.014307283054137608,0.018873576992210903
17,Others (37 articles),529,805.0,1.5217391304347827,0.01929206508975004,0.022639732945305146
18,NANTAIS,91,130.0,1.4285714285714286,0.0031154887722577708,0.0038945476333133613
19,TARTELETTE,236,360.0,1.5254237288135593,0.00862750736932921,0.010100145510570915
20,FLAN,108,158.0,1.462962962962963,0.003786517123205598,0.004622100487888385
21,ECLAIR,167,281.0,1.6826347305389222,0.006734248807726412,0.007147136865531114
22,ROYAL,17,19.0,1.1176470588235294,0.00045534066671459725,0.0007275528545750235
23,TARTE,62,65.0,1.0483870967741935,0.0015577443861288854,0.0026534280578618505
24,TRAITEUR,51,56.0,1.0980392156862746,0.0013420567018956552,0.0021826585637250706
