id	label
.	.
12 MACARON	12 MACARON
ARMORICAIN	ARMORICAIN
ARTICLE 295	ARTICLE 295
BAGUETTE	BAGUETTE
BAGUETTE APERO	BAGUETTE APERO
BAGUETTE GRAINE	BAGUETTE GRAINE
BANETTE	BANETTE
BANETTINE	BANETTINE
BOISSON 33CL	BOISSON 33CL
BOTTEREAU	BOTTEREAU
BOULE 200G	BOULE 200G
BOULE 400G	BOULE 400G
BOULE POLKA	BOULE POLKA
BRIOCHE	BRIOCHE
BRIOCHE DE NOEL	BRIOCHE DE NOEL
BRIOCHETTE	BRIOCHETTE
BROWNIES	BROWNIES
BUCHE 4PERS	BUCHE 4PERS
BUCHE 6PERS	BUCHE 6PERS
BUCHE 8PERS	BUCHE 8PERS
CAFE OU EAU	CAFE OU EAU
CAKE	CAKE
CAMPAGNE	CAMPAGNE
CARAMEL NOIX	CARAMEL NOIX
CEREAL BAGUETTE	CEREAL BAGUETTE
CHAUSSON AUX POMMES	CHAUSSON AUX POMMES
CHOCOLAT	CHOCOLAT
CHOU CHANTILLY	CHOU CHANTILLY
COMPLET	COMPLET
COOKIE	COOKIE
COUPE	COUPE
CROISSANT	CROISSANT
CROISSANT AMANDES	CROISSANT AMANDES
CRUMBLE	CRUMBLE
CRUMBLECARAMEL OU PISTAE	CRUMBLECARAMEL OU PISTAE
DELICETROPICAL	DELICETROPICAL
DEMI BAGUETTE	DEMI BAGUETTE
DEMI PAIN	DEMI PAIN
DIVERS BOISSONS	DIVERS BOISSONS
DIVERS BOULANGERIE	DIVERS BOULANGERIE
DIVERS CONFISERIE	DIVERS CONFISERIE
DIVERS PATISSERIE	DIVERS PATISSERIE
DIVERS SANDWICHS	DIVERS SANDWICHS
DIVERS VIENNOISERIE	DIVERS VIENNOISERIE
DOUCEUR D HIVER	DOUCEUR D HIVER
ECLAIR	ECLAIR
ECLAIR FRAISE PISTACHE	ECLAIR FRAISE PISTACHE
ENTREMETS	ENTREMETS
FICELLE	FICELLE
FINANCIER	FINANCIER
FINANCIER X5	FINANCIER X5
FLAN	FLAN
FLAN ABRICOT	FLAN ABRICOT
FONDANT CHOCOLAT	FONDANT CHOCOLAT
FORMULE PATE	FORMULE PATE
FORMULE PLAT PREPARE	FORMULE PLAT PREPARE
FORMULE SANDWICH	FORMULE SANDWICH
FRAISIER	FRAISIER
FRAMBOISIER	FRAMBOISIER
GACHE	GACHE
GAL FRANGIPANE 4P	GAL FRANGIPANE 4P
GAL FRANGIPANE 6P	GAL FRANGIPANE 6P
GAL POIRE CHOCO 4P	GAL POIRE CHOCO 4P
GAL POIRE CHOCO 6P	GAL POIRE CHOCO 6P
GAL POMME 4P	GAL POMME 4P
GAL POMME 6P	GAL POMME 6P
GALETTE 8 PERS	GALETTE 8 PERS
GD FAR BRETON	GD FAR BRETON
GD KOUIGN AMANN	GD KOUIGN AMANN
GD NANTAIS	GD NANTAIS
GD PLATEAU SALE	GD PLATEAU SALE
GRAND FAR BRETON	GRAND FAR BRETON
GRANDE SUCETTE	GRANDE SUCETTE
GUERANDAIS	GUERANDAIS
KOUIGN AMANN	KOUIGN AMANN
MACARON	MACARON
MERINGUE	MERINGUE
MILLES FEUILLES	MILLES FEUILLES
MOISSON	MOISSON
NANTAIS	NANTAIS
NID DE POULE	NID DE POULE
NOIX JAPONAISE	NOIX JAPONAISE
PAILLE	PAILLE
PAIN	PAIN
PAIN AU CHOCOLAT	PAIN AU CHOCOLAT
PAIN AUX RAISINS	PAIN AUX RAISINS
PAIN BANETTE	PAIN BANETTE
PAIN CHOCO AMANDES	PAIN CHOCO AMANDES
PAIN DE MIE	PAIN DE MIE
PAIN GRAINES	PAIN GRAINES
PAIN NOIR	PAIN NOIR
PAIN S/SEL	PAIN S/SEL
PAIN SUISSE PEPITO	PAIN SUISSE PEPITO
PALET BRETON	PALET BRETON
PALMIER	PALMIER
PARIS BREST	PARIS BREST
PATES	PATES
PLAQUE TARTE 25P	PLAQUE TARTE 25P
PLAT	PLAT
PLAT 6.50E	PLAT 6.50E
PLAT 7.00	PLAT 7.00
PLAT 7.60E	PLAT 7.60E
PLAT 8.30E	PLAT 8.30E
PLATPREPARE5,50	PLATPREPARE5,50
PLATPREPARE6,00	PLATPREPARE6,00
PLATPREPARE6,50	PLATPREPARE6,50
PLATPREPARE7,00	PLATPREPARE7,00
PT NANTAIS	PT NANTAIS
PT PLATEAU SALE	PT PLATEAU SALE
QUIM BREAD	QUIM BREAD
REDUCTION SUCREES 12	REDUCTION SUCREES 12
REDUCTION SUCREES 24	REDUCTION SUCREES 24
RELIGIEUSE	RELIGIEUSE
ROYAL	ROYAL
ROYAL 4P	ROYAL 4P
ROYAL 6P	ROYAL 6P
SABLE F  P	SABLE F  P
SACHET DE CROUTON	SACHET DE CROUTON
SACHET DE VIENNOISERIE	SACHET DE VIENNOISERIE
SACHET VIENNOISERIE	SACHET VIENNOISERIE
SAND JB	SAND JB
SAND JB EMMENTAL	SAND JB EMMENTAL
SANDWICH COMPLET	SANDWICH COMPLET
