,article,categorie
0,.,NULL
1,12 MACARON,PATISSERIE
2,ARMORICAIN,PATISSERIE
3,ARTICLE 295,PAIN
4,BAGUETTE,BAGUETTE
5,BAGUETTE APERO,BAGUETTE
6,BAGUETTE GRAINE,BAGUETTE
7,BANETTE,BAGUETTE
8,BANETTINE,BAGUETTE
9,BOISSON 33CL,BOISSON
10,BOTTEREAU,PATISSERIE
11,BOULE 200G,PAIN
12,BOULE 400G,PAIN
13,BOULE POLKA,PAIN
14,BRIOCHE,BRIOCHE
15,BRIOCHE DE NOEL,BRIOCHE
16,BRIOCHETTE,BRIOCHE
17,BROWNIES,PATISSERIE
18,BUCHE 4PERS,PATISSERIE
19,BUCHE 6PERS,PATISSERIE
20,BUCHE 8PERS,PATISSERIE
21,CAFE OU EAU,BOISSON
22,CAKE,VIENNOISERIE
23,CAMPAGNE,PAIN
24,CARAMEL NOIX
25,CEREAL BAGUETTE,BAGUETTE
26,CHAUSSON AUX POMMES,VIENNOISERIE
27,CHOCOLAT
28,CHOU CHANTILLY,PATISSERIE
29,COMPLET,PAIN
30,COOKIE,VIENNOISERIE
31,COUPE,NULL
32,CROISSANT,CROISSANT
33,CROISSANT AMANDES,CROISSANT
34,CRUMBLE,VIENNOISERIE
35,CRUMBLECARAMEL OU PISTAE,VIENNOISERIE
36,DELICETROPICAL,BOISSON
37,DEMI BAGUETTE,BAGUETTE
38,DEMI PAIN,PAIN
39,DIVERS BOISSONS,BOISSON
40,DIVERS BOULANGERIE,PAIN
41,DIVERS CONFISERIE,CONFISERIE
42,DIVERS PATISSERIE,PATISSERIE
43,DIVERS SANDWICHS,SANDWICH
44,DIVERS VIENNOISERIE,VIENNOISERIE
45,DOUCEUR D HIVER,PATISSERIE
46,ECLAIR,VIENNOISERIE
47,ECLAIR FRAISE PISTACHE,VIENNOISERIE
48,ENTREMETS,PATISSERIE
49,FICELLE,BAGUETTE
50,FINANCIER,PATISSERIE
51,FINANCIER X5,PATISSERIE
52,FLAN,PATISSERIE
53,FLAN ABRICOT,PATISSERIE
54,FONDANT CHOCOLAT,PATISSERIE
55,FORMULE PATE,SANDWICH
56,FORMULE PLAT PREPARE,SANDWICH
57,FORMULE SANDWICH,SANDWICH
58,FRAISIER,PATISSERIE
59,FRAMBOISIER,PATISSERIE
60,GACHE,BRIOCHE
61,GAL FRANGIPANE 4P,PATISSERIE
62,GAL FRANGIPANE 6P,PATISSERIE
63,GAL POIRE CHOCO 4P,PATISSERIE
64,GAL POIRE CHOCO 6P,PATISSERIE
65,GAL POMME 4P,PATISSERIE
66,GAL POMME 6P,PATISSERIE
67,GALETTE 8 PERS,PATISSERIE
68,GD FAR BRETON,PATISSERIE
69,GD KOUIGN AMANN,KOUIGN AMANN
70,GD NANTAIS,PATISSERIE
71,GD PLATEAU SALE,TRAITEUR
72,GRAND FAR BRETON,PATISSERIE
73,GRANDE SUCETTE, CONFISERIE
74,GUERANDAIS,PATISSERIE
75,KOUIGN AMANN,KOUIGN AMANN
76,MACARON,PATISSERIE
77,MERINGUE,PATISSERIE
78,MILLES FEUILLES,PATISSERIE
79,MOISSON,PATISSERIE
80,NANTAIS,NANTAIS
81,NID DE POULE,PATISSERIE
82,NOIX JAPONAISE,PATISSERIE
83,PAILLE,PATISSERIE
84,PAIN, PAIN
85,PAIN AU CHOCOLAT,PAIN AU CHOCOLAT
86,PAIN AUX RAISINS,VIENNOISERIE
87,PAIN BANETTE,BAGUETTE
88,PAIN CHOCO AMANDES,PAIN AU CHOCOLAT
89,PAIN DE MIE,PAIN
90,PAIN GRAINES,PAIN
91,PAIN NOIR,PAIN
92,PAIN S/SEL,PAIN
93,PAIN SUISSE PEPITO,VIENNOISERIE
94,PALET BRETON,PATISSERIE
95,PALMIER,PATISSERIE
96,PARIS BREST,PATISSERIE
97,PATES,SANDWICH
98,PLAQUE TARTE 25P,PATISSERIE
99,PLAT,SANDWICH
100,PLAT 6.50E,SANDWICH
101,PLAT 7.00,SANDWICH
102,PLAT 7.60E,SANDWICH
103,PLAT 8.30E,SANDWICH
104,"PLATPREPARE5,50",SANDWICH
105,"PLATPREPARE6,00",SANDWICH
106,"PLATPREPARE6,50",SANDWICH
107,"PLATPREPARE7,00",SANDWICH
108,PT NANTAIS,PATISSERIE
109,PT PLATEAU SALE,TRAITEUR
110,QUIM BREAD,PAIN
111,REDUCTION SUCREES 12,REDUCTION
112,REDUCTION SUCREES 24,REDUCTION
113,RELIGIEUSE,PATISSERIE
114,ROYAL,PATISSERIE
115,ROYAL 4P,PATISSERIE
116,ROYAL 6P,PATISSERIE
117,SABLE F  P,PATISSERIE
118,SACHET DE CROUTON
119,SACHET DE VIENNOISERIE,VIENNOISERIE
120,SACHET VIENNOISERIE,VIENNOISERIE
121,SAND JB,SANDWICH
122,SAND JB EMMENTAL,SANDWICH
123,SANDWICH COMPLET,SANDWICH
124,SAVARIN,PATISSERIE
125,SEIGLE,PAIN
126,SPECIAL BREAD,PAIN
127,SPECIAL BREAD KG,PAIN
128,ST HONORE,PATISSERIE
129,SUCETTE,CONFISERIE
130,TARTE FINE,PATISSERIE
131,TARTE FRAISE 4PER,PATISSERIE
132,TARTE FRAISE 6P,PATISSERIE
133,TARTE FRUITS 4P,PATISSERIE
134,TARTE FRUITS 6P,PATISSERIE
135,TARTELETTE,VIENNOISERIE
136,TARTELETTE CHOC,VIENNOISERIE
137,TARTELETTE COCKTAIL,VIENNOISERIE
138,TARTELETTE FRAISE,VIENNOISERIE
139,THE,BOISSON
140,TRADITIONAL BAGUETTE,BAGUETTE
141,TRAITEUR,TRAITEUR
142,TRIANGLES,VIENNOISERIE
143,TROIS CHOCOLAT
144,TROPEZIENNE,PATISSERIE
145,TROPEZIENNE FRAMBOISE,PATISSERIE
146,TULIPE,PATISSERIE
147,VIENNOISE,VIENNOISERIE
148,VIK BREAD,PAIN
