Target	Source	Weight
41481402.0	 CONFISERIE	344.0
416008071.0	 PAIN	2461.0
25012692437.0	BAGUETTE	182262.0
669514448.0	BOISSON	3970.0
401467155.0	BRIOCHE	1936.0
220175484.0	CONFISERIE	1564.0
2938920456.0	CROISSANT	31999.0
219725.0	INCONNU	1.0
478130878.0	KOUIGN AMANN	3392.0
67217338.0	NANTAIS	591.0
5781921548.0	PAIN	30127.0
2661513593.0	PAIN AU CHOCOLAT	27141.0
3178712113.0	PATISSERIE	18503.0
2072376.0	REDUCTION	9.0
1907387872.0	SANDWICH	10728.0
295613605.0	TRAITEUR	1462.0
2695588573.0	VIENNOISERIE	19682.0
4525553477.0	nan	23816.0
0.0	Others (0 articles)	0.0
