id	label
 CONFISERIE	 CONFISERIE
 PAIN	 PAIN
BAGUETTE	BAGUETTE
BOISSON	BOISSON
BRIOCHE	BRIOCHE
BUCHE	BUCHE
CONFISERIE	CONFISERIE
CROISSANT	CROISSANT
CRUMBLE	CRUMBLE
ECLAIR	ECLAIR
FAR BRETON	FAR BRETON
FINANCIER	FINANCIER
FLAN	FLAN
GALETTE	GALETTE
INCONNU	INCONNU
KOUIGN AMANN	KOUIGN AMANN
MACARON	MACARON
NANTAIS	NANTAIS
Others (0 articles)	Others (0 articles)
PAIN	PAIN
PAIN AU CHOCOLAT	PAIN AU CHOCOLAT
PATISSERIE	PATISSERIE
REDUCTION	REDUCTION
ROYAL	ROYAL
SANDWICH	SANDWICH
TARTE	TARTE
TARTELETTE	TARTELETTE
TRAITEUR	TRAITEUR
TROPEZIENNE	TROPEZIENNE
VIENNOISERIE	VIENNOISERIE
nan	nan
