Target	Source	Weight
41481402.0	 CONFISERIE	344.0
416008071.0	 PAIN	2461.0
25012692437.0	BAGUETTE	182262.0
669514448.0	BOISSON	3970.0
401467155.0	BRIOCHE	1936.0
4292313.0	BUCHE	21.0
220175484.0	CONFISERIE	1564.0
2938920456.0	CROISSANT	31999.0
1531680.0	CRUMBLE	12.0
437482369.0	ECLAIR	3676.0
345684699.0	FAR BRETON	1657.0
225874324.0	FINANCIER	1283.0
312858740.0	FLAN	1868.0
102330791.0	GALETTE	543.0
219725.0	INCONNU	1.0
478130878.0	KOUIGN AMANN	3392.0
54586900.0	MACARON	517.0
199063609.0	NANTAIS	1451.0
5781921548.0	PAIN	30127.0
2661513593.0	PAIN AU CHOCOLAT	27141.0
556635935.0	PATISSERIE	4360.0
2072376.0	REDUCTION	9.0
68386676.0	ROYAL	431.0
1907387872.0	SANDWICH	10728.0
213382465.0	TARTE	1015.0
744549057.0	TARTELETTE	5887.0
295613605.0	TRAITEUR	1462.0
84847011.0	TROPEZIENNE	541.0
303533570.0	VIENNOISERIE	1560.0
6812031362.0	nan	37770.0
0.0	Others (0 articles)	0.0
